Timestamp, Event, Value
12,938,Turn Right,1
12,939,Accelerate,1
12,955,Turn Right,1
12,955,Accelerate,1
12,972,Turn Right,1
12,972,Accelerate,1
12,989,Turn Right,1
12,989,Accelerate,1
13,006,Turn Right,1
13,006,Accelerate,1
13,023,Turn Right,1
13,023,Accelerate,1
13,038,Turn Right,1
13,038,Accelerate,1
13,055,Turn Right,1
13,056,Accelerate,1
13,073,Turn Right,1
13,073,Accelerate,1
13,088,Turn Right,1
13,089,Accelerate,1
13,105,Turn Right,1
13,105,Accelerate,1
13,122,Turn Right,1
13,122,Accelerate,1
13,138,Turn Right,1
13,139,Accelerate,1
13,156,Turn Right,1
13,156,Accelerate,1
13,173,Turn Right,1
13,173,Accelerate,1
13,190,Turn Right,1
13,190,Accelerate,1
13,205,Turn Right,1
13,205,Accelerate,1
13,223,Turn Left,1
13,223,Accelerate,1
13,238,Turn Left,1
13,238,Accelerate,1
13,255,Bullet Missed,1
13,256,Turn Left,1
13,256,Accelerate,1
13,272,Turn Left,1
13,272,Accelerate,1
13,289,Turn Left,1
13,289,Accelerate,1
13,305,Turn Left,1
13,306,Accelerate,1
13,322,Turn Left,1
13,322,Accelerate,1
13,339,Turn Left,1
13,340,Accelerate,1
13,356,Turn Left,1
13,356,Accelerate,1
13,372,Turn Left,1
13,372,Accelerate,1
13,389,Turn Left,1
13,390,Accelerate,1
13,405,Turn Left,1
13,406,Accelerate,1
13,422,Turn Left,1
13,422,Accelerate,1
13,438,Turn Left,1
13,438,Accelerate,1
13,455,Turn Left,1
13,455,Accelerate,1
13,473,Turn Left,1
13,473,Accelerate,1
13,488,Bullet Missed,1
13,489,Turn Left,1
13,489,Accelerate,1
13,505,Turn Left,1
13,506,Accelerate,1
13,523,Turn Left,1
13,539,Turn Left,1
13,556,Turn Left,1
13,572,Turn Left,1
13,588,Turn Left,1
13,606,Bullet Missed,1
13,606,Turn Left,1
13,622,Turn Left,1
13,638,Turn Left,1
13,656,Turn Left,1
13,672,Turn Left,1
13,689,Turn Left,1
13,705,Bullet Missed,1
13,706,Turn Left,1
13,723,Turn Left,1
13,742,Turn Left,1
13,755,Turn Left,1
13,773,Turn Left,1
13,788,Bullet Missed,1
13,789,Turn Left,1
13,806,Bullet Missed,1
13,806,Turn Left,1
13,823,Bullet Fired,1
13,823,Turn Left,1
13,839,Turn Left,1
13,855,Turn Left,1
13,872,Bullet Missed,1
13,888,Bullet Missed,1
13,922,Bullet Fired,1
13,955,Bullet Missed,1
13,972,Bullet Missed,1
13,988,Bullet Missed,1
14,005,Bullet Missed,1
14,022,Bullet Missed,1
14,023,Bullet Fired,1
14,038,Bullet Missed,1
14,083,Turn Right,1
14,088,Turn Right,1
14,105,Turn Right,1
14,121,Bullet Missed,1
14,122,Bullet Fired,1
14,122,Turn Right,1
14,138,Turn Right,1
14,155,Turn Right,1
14,172,Turn Right,1
14,188,Bullet Missed,1
14,188,Enemy hit,150
14,189,Turn Right,1
14,189,Enemy killed,1
14,205,Turn Right,1
14,222,Bullet Fired,1
14,222,Turn Right,1
14,239,Turn Right,1
14,255,Turn Right,1
14,272,Turn Right,1
14,289,Turn Right,1
14,305,Turn Right,1
14,322,Bullet Fired,1
14,323,Turn Right,1
14,338,Turn Right,1
14,355,Turn Right,1
14,372,Turn Right,1
14,389,Bullet Missed,1
14,389,Turn Right,1
14,405,Turn Right,1
14,422,Bullet Fired,1
14,422,Turn Right,1
14,439,Turn Right,1
14,455,Turn Right,1
14,472,Turn Right,1
14,489,Turn Right,1
14,506,Turn Right,1
14,506,Accelerate,1
14,522,Bullet Fired,1
14,522,Turn Right,1
14,522,Accelerate,1
14,539,Turn Right,1
14,539,Accelerate,1
14,555,Turn Right,1
14,555,Accelerate,1
14,571,Turn Right,1
14,571,Accelerate,1
14,588,Turn Right,1
14,588,Accelerate,1
14,604,Turn Right,1
14,605,Accelerate,1
14,621,Bullet Missed,1
14,622,Bullet Fired,1
14,622,Turn Right,1
14,622,Accelerate,1
14,640,Accelerate,1
14,655,Accelerate,1
14,672,Accelerate,1
14,688,Accelerate,1
14,706,Accelerate,1
14,722,Accelerate,1
14,739,Accelerate,1
14,754,Accelerate,1
14,771,Accelerate,1
14,788,Accelerate,1
14,806,Accelerate,1
14,822,Accelerate,1
14,838,Accelerate,1
14,855,Accelerate,1
14,872,Accelerate,1
14,888,Accelerate,1
14,905,Bullet Missed,1
14,906,Accelerate,1
14,922,Accelerate,1
14,938,Accelerate,1
14,955,Accelerate,1
14,971,Accelerate,1
14,989,Accelerate,1
15,006,Accelerate,1
15,022,Accelerate,1
15,040,Accelerate,1
15,056,Accelerate,1
15,072,Accelerate,1
15,089,Turn Right,1
15,089,Accelerate,1
15,105,Turn Right,1
15,105,Accelerate,1
15,122,Turn Right,1
15,122,Accelerate,1
15,138,Turn Right,1
15,138,Accelerate,1
15,155,Turn Right,1
15,155,Accelerate,1
15,173,Turn Right,1
15,173,Accelerate,1
15,188,Turn Right,1
15,189,Accelerate,1
15,205,Turn Right,1
15,205,Accelerate,1
15,221,Turn Right,1
15,221,Accelerate,1
15,238,Turn Right,1
15,238,Accelerate,1
15,255,Turn Right,1
15,255,Accelerate,1
15,272,Turn Right,1
15,272,Accelerate,1
