Timestamp, Event, Value
18,729,Accelerate,1
18,745,Turn Right,1
18,745,Accelerate,1
18,762,Turn Right,1
18,762,Accelerate,1
18,778,Turn Right,1
18,778,Accelerate,1
18,795,Turn Right,1
18,795,Accelerate,1
18,812,Turn Right,1
18,812,Accelerate,1
18,828,Turn Right,1
18,828,Accelerate,1
18,845,Turn Right,1
18,845,Accelerate,1
18,862,Turn Right,1
18,862,Accelerate,1
18,879,Turn Right,1
18,879,Accelerate,1
18,896,Bullet Missed,1
18,896,Turn Right,1
18,896,Accelerate,1
18,912,Turn Right,1
18,913,Accelerate,1
18,928,Turn Right,1
18,938,Accelerate,1
18,946,Turn Right,1
18,946,Accelerate,1
18,962,Turn Right,1
18,962,Accelerate,1
18,978,Turn Right,1
18,978,Accelerate,1
18,995,Turn Right,1
18,995,Accelerate,1
19,011,Turn Right,1
19,011,Accelerate,1
19,028,Turn Right,1
19,028,Accelerate,1
19,046,Turn Right,1
19,046,Accelerate,1
19,062,Turn Right,1
19,062,Accelerate,1
19,079,Turn Right,1
19,079,Accelerate,1
19,096,Turn Right,1
19,096,Accelerate,1
19,112,Turn Right,1
19,112,Accelerate,1
19,130,Turn Left,1
19,130,Accelerate,1
19,145,Turn Left,1
19,145,Accelerate,1
19,162,Turn Left,1
19,162,Accelerate,1
19,178,Turn Left,1
19,179,Accelerate,1
19,195,Turn Left,1
19,195,Accelerate,1
19,211,Bullet Missed,1
19,211,Turn Left,1
19,211,Accelerate,1
19,228,Turn Left,1
19,228,Accelerate,1
19,246,Turn Left,1
19,246,Accelerate,1
19,262,Turn Left,1
19,262,Accelerate,1
19,278,Turn Left,1
19,278,Accelerate,1
19,295,Turn Left,1
19,296,Accelerate,1
19,312,Turn Left,1
19,312,Accelerate,1
19,329,Turn Left,1
19,329,Accelerate,1
19,345,Turn Left,1
19,345,Accelerate,1
19,362,Turn Left,1
19,362,Accelerate,1
19,379,Turn Left,1
19,379,Accelerate,1
19,395,Turn Left,1
19,395,Accelerate,1
19,412,Turn Left,1
19,412,Accelerate,1
19,429,Turn Left,1
19,429,Accelerate,1
19,445,Turn Left,1
19,446,Accelerate,1
19,462,Bullet Missed,1
19,462,Turn Left,1
19,462,Accelerate,1
19,479,Turn Left,1
19,479,Accelerate,1
19,495,Turn Left,1
19,495,Accelerate,1
19,512,Turn Left,1
19,512,Accelerate,1
19,529,Turn Left,1
19,529,Accelerate,1
19,545,Turn Left,1
19,545,Accelerate,1
19,561,Turn Left,1
19,561,Accelerate,1
19,578,Turn Left,1
19,579,Accelerate,1
19,594,Turn Left,1
19,595,Accelerate,1
19,612,Turn Left,1
